	Adult_0	Adult_2	Adult_1	Infant_0	tHIO_2	tHIO_1	tHIO_0	tHIO+S_1	tHIO+S_0	tHIO+S_3	tHIO+S_2
Adult_0	1	0.9776649	0.9774971	0.9115274	0.63414615	0.6391678	0.5964735	0.70633477	0.7103149	0.6820624	0.6927222
Adult_2	0.9776649	1	0.96950585	0.8851113	0.61173487	0.61449546	0.5685654	0.69027156	0.6979204	0.66850036	0.67841536
Adult_1	0.9774971	0.96950585	1	0.9130767	0.60503113	0.60758877	0.56668586	0.67803913	0.6871652	0.6573397	0.66662294
Infant_0	0.9115274	0.8851113	0.9130767	1	0.7311192	0.7247331	0.69785327	0.76984453	0.7809932	0.7513464	0.7566725
tHIO_2	0.63414615	0.61173487	0.60503113	0.7311192	1	0.97086984	0.95777303	0.93822277	0.9445894	0.9431632	0.9447317
tHIO_1	0.6391678	0.61449546	0.60758877	0.7247331	0.97086984	1	0.9471287	0.93413323	0.9297284	0.9406122	0.94279444
tHIO_0	0.5964735	0.5685654	0.56668586	0.69785327	0.95777303	0.9471287	1	0.892459	0.8904032	0.9130152	0.90955067
tHIO+S_1	0.70633477	0.69027156	0.67803913	0.76984453	0.93822277	0.93413323	0.892459	1	0.97463775	0.9620515	0.9659201
tHIO+S_0	0.7103149	0.6979204	0.6871652	0.7809932	0.9445894	0.9297284	0.8904032	0.97463775	1	0.96815383	0.9709931
tHIO+S_3	0.6820624	0.66850036	0.6573397	0.7513464	0.9431632	0.9406122	0.9130152	0.9620515	0.96815383	1	0.98429227
tHIO+S_2	0.6927222	0.67841536	0.66662294	0.7566725	0.9447317	0.94279444	0.90955067	0.9659201	0.9709931	0.98429227	1
