gene_name	Adult_1	Adult_2	Adult_3	Infant_1	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3
WASH7P	6.33888	7.1678576	5.916683	6.7770686	5.821654	6.5328918	5.8397355	6.005145	6.573375	6.1970434	5.9111977
LOC729737	7.102646	6.430892	4.0148635	6.452342	7.879104	7.1673746	8.036133	7.553766	6.713553	8.011741	7.981587
LOC100133331	4.963371	5.898397	4.8962193	5.3204303	5.2546134	3.278078	5.669811	4.8932524	5.1285906	5.518972	4.589269
LOC100288069	0.7539176	1.0910422	0	2.5731962	0	0	1.9917388	1.5240184	0	0.3896887	1.1298379
LINC00115	3.213349	3.898397	3.766936	2.5731962	2.0846884	2.4036088	1.6698107	2.939056	0.95866543	2.974651	0.12983781
LOC643837	5.368627	4.9490232	5.193201	6.0877695	5.2546134	4.2109637	5.313667	5.797037	5.2805934	5.84912	5.684427
LOC100130417	3.7539175	4.091042	2.766936	5.0877695	4.2546134	3.278078	4.254773	4.746411	6.7915554	4.84912	4.129838
SAMD11	6.776285	7.0797267	6.8649683	7.989843	7.892043	7.5260057	7.37025	7.8697934	10.890881	8.503431	9.264264
NOC2L	8.814613	8.500433	8.564598	8.757363	8.530393	7.921934	8.558554	8.538969	9.216053	9.190589	9.264264
KLHL17	6.2930765	6.4833593	6.0888643	6.4240527	6.3700905	5.546567	6.5277915	6.0475802	7.573375	6.7990794	6.5221553
PLEKHN1	3.33888	2.091042	2.574291	2.0877693	3.5871887	2.4036088	3.1292422	2.7464108	1.9586655	0.3896887	2.7148004
C1orf170	2.0758455	1.0910422	1.7669362	2.0877693	1.4997258	0	2.2547731	0	2.9586654	2.7116168	0.12983781
HES4	7.3463745	6.9614067	6.8330255	8.123393	7.6895504	7.9985557	7.232053	7.305378	10.42219	8.940435	8.94041
ISG15	9.381452	7.598837	10.293435	8.387894	8.477006	9.892788	8.69495	8.466533	9.746568	9.256968	8.850937
AGRN	10.598623	10.262218	10.1506405	11.040219	11.976726	10.279102	11.654585	11.871271	12.3228	12.108221	12.393987
C1orf159	7.229651	7.068322	6.8003592	6.9257126	7.46551	7.6951632	7.2011924	6.797037	8.4180975	8.103934	7.857758
LOC254099	2.9238424	2.898397	2.0888643	2.0877693	2.6696508	0.81864643	1.6698107	2.5240185	1.9586655	2.7116168	3.8302774
MIR200A	3.213349	2.091042	2.3518987	0.76584136	2.3070807	0	2.2547731	0.9390559	0	3.3896887	2.9371927
MIR429	4.454357	4.8459296	3.574291	0.76584136	3.7476532	1.8186464	3.9917388	2.5240185	1.9586655	2.3896887	3.1298378
TTLL10	1.33888	1.0910422	2.0888643	0	2.3070807	0	1.6698107	0	0	0	1.1298379
TNFRSF18	6.660808	6.068322	6.1592536	5.2576942	1.0846884	1.8186464	0	0	0.95866543	0	1.1298379
TNFRSF4	5.7311974	5.734898	5.3518987	5.9155884	5.60825	7.3578053	3.9177382	0.9390559	1.9586655	1.3896887	3.5892694
SDF4	12.167545	11.783221	12.161935	11.306938	11.926777	12.20316	11.856544	11.902313	13.248684	12.690899	12.431334
B3GALT6	8.397774	7.598837	8.407181	8.611331	9.121778	8.673514	8.998486	8.958647	10.4900465	9.944278	9.91774
FAM132A	9.572499	8.716751	9.463903	6.520729	8.61607	9.964579	9.036133	8.901952	8.14849	9.974651	8.1687565
UBE2J2	9.837397	9.606742	9.831679	9.310805	9.345216	9.996066	9.642791	9.454756	10.353128	10.01357	10.048701
SCNN1D	8.159059	7.6909547	7.655679	6.9053926	6.950937	6.8520694	7.8596354	7.6255565	7.2805934	7.9896016	6.539229
ACAP3	9.834735	9.711262	9.298318	9.371321	9.277803	8.914043	9.634151	9.470437	10.607922	9.834703	9.924253
PUSL1	7.300812	6.923932	7.3291783	7.158159	7.084688	8.193686	7.4511704	7.108981	8.588022	8.378373	8.433619
CPSF3L	10.290165	10.309	10.125587	9.78265	9.984549	10.340247	10.102352	10.070912	10.76763	10.7116165	10.657314
GLTPD1	10.215397	9.5688	10.449053	8.7054205	9.200166	8.991074	9.072823	9.010518	10.208964	9.985878	9.627689
TAS1R3	4.7081137	5.6760044	4.7669363	3.0877693	4.143582	3.278078	2.4771657	3.939056	0.95866543	3.8491204	4.0367284
DVL1	10.393258	10.219036	10.554839	9.579622	9.608251	8.958198	9.743952	9.489802	10.370176	10.098772	10.2173
MXRA8	10.123515	9.901613	9.169949	10.83193	10.665889	10.440699	10.54556	10.662717	14.197817	11.502129	12.049446
AURKAIP1	10.896663	10.182477	10.651107	9.730183	9.967331	10.850003	9.992866	9.931994	11.142301	11.0479	10.787156
CCNL2	10.468163	10.938099	9.815423	10.325218	10.38466	10.581029	10.772443	10.257599	10.666024	10.719485	10.350216
LOC148413	7.67873	7.5667753	7.649579	7.6545844	7.896331	7.8129997	7.844736	7.6255565	8.271548	8.67046	8.253959
MRPL20	9.948674	9.5360565	9.786527	9.400652	9.421567	10.186061	9.464227	9.432912	10.384931	9.980276	9.94842
ANKRD65	6.1633086	5.448594	5.649579	7.2004695	4.9591575	5.4625025	5.37025	5.224458	7.434399	6.171048	5.6216908
VWA1	9.050834	9.243327	8.618685	10.342325	10.059103	10.031751	9.774409	9.767192	11.42219	11.344612	10.703485
ATAD3C	3.7539175	2.091042	3.936861	3.5731962	2.6696508	2.6260014	2.2547731	3.108981	4.418097	0	3.4517658
ATAD3B	7.719702	7.8121414	6.9957547	6.9257126	6.7758503	6.8520694	7.0007277	6.296608	7.7915554	7.3669686	7.3682427
ATAD3A	8.372303	7.770522	7.9318433	7.335697	7.826155	7.373235	8.193373	7.910599	8.804155	8.503431	8.7148
TMEM240	3.8413804	3.9979327	2.3518987	6.1056914	4.9259906	5.600006	5.8596354	5.260984	7.9698925	6.599142	6.6055713
SSU72	10.675758	10.651375	10.896863	9.812965	10.236128	10.560114	10.128218	10.107728	10.898245	10.79908	10.595405
C1orf233	6.660808	6.3389697	6.258789	6.1921062	6.1144357	6.26159	5.669811	6.026519	8.602522	6.0901284	6.9111977
MIB2	9.818661	9.8674755	9.75704	9.38239	8.942669	8.302463	9.431362	9.076047	10.530418	9.74504	9.699694
MMP23B	2.0758455	0.09104211	1.3518987	3.466281	3.9591575	4.573534	4.1292424	4.186983	7.573375	4.4771514	5.2173004
MMP23A	0	2.091042	0.7669362	2.3508039	2.0846884	0.81864643	2.2547731	2.5240185	5.9586654	3.7116168	2.9371927
CDK11B	7.7928367	8.079727	8.066144	7.466281	6.7091794	6.008471	7.07069	7.3140955	7.513254	7.144576	7.3682427
SLC35E2B	10.377799	10.597845	10.399022	9.402466	10.085628	9.26159	9.96558	9.827799	9.733453	9.479801	9.842364
CDK11A	7.6242824	7.832509	7.7211323	6.2576942	6.4884105	5.573534	6.6584954	6.553766	7.0030594	6.711617	6.7591944
SLC35E2	7.4818377	7.6983724	7.1506405	8.9079485	8.139971	7.1040487	7.9034305	7.972479	8.359545	7.9746513	8.259121
NADK	10.131128	10.209983	10.552388	9.77427	10.207085	10.16516	10.056751	9.95168	10.340208	10.684309	10.410608
GNB1	12.924155	12.957162	13.235942	12.395426	12.451011	12.178396	12.304395	12.611923	12.5585785	12.28829	12.370033
TMEM52	6.963371	6.2609673	6.453437	4.350804	4.991579	6.4910717	6.328022	5.6939435	4.7660203	7.7990794	6.084034
KIAA1751	2.7539175	3.6760044	0	0.76584136	3.4066164	3.725537	4.37025	2.7464108	0	4.1970434	2.1298378
GABRD	0.7539176	0	1.7669362	2.7658415	2.3070807	4.3422084	1.9917388	0.9390559	0.95866543	2.3896887	1.7148002
PRKCZ	9.6578	9.415222	10.284606	8.127785	9.299007	9.320483	9.675435	9.222144	8.333705	9.840899	9.56029
C1orf86	8.2930765	7.9614067	7.9064875	8.289403	9.054315	9.86577	8.84723	9.0554	11.104598	10.208271	10.091288
SKI	9.858517	10.006922	9.868912	10.805446	10.821091	8.86577	10.84536	11.065115	11.150958	11.08056	11.065002
MORN1	4.277479	4.091042	3.3518987	4.623822	5.54412	4.4625025	5.37025	5.108981	5.6591053	6.2723317	6.0124807
LOC100129534	4.001845	4.41297	4.1592536	4.672732	5.357707	4.3422084	5.027363	5.186983	4.418097	5.343885	5.884725
RER1	11.375511	11.076884	11.60614	10.387894	10.840689	11.572281	11.039953	10.99366	11.311812	11.320426	10.9210005
PEX10	7.383274	7.5339856	7.7327204	7.480087	7.887743	8.066574	7.612325	7.8459463	8.778845	8.171048	8.269389
PLCH2	6.648735	6.6909547	5.6738267	5.520729	4.7476535	3.9061093	6.2697234	5.3984876	3.7660203	5.9132504	3.1298378
PANK4	8.379626	8.157131	8.141975	8.312736	8.264597	8.342209	8.331589	8.078608	8.997584	9.083176	8.633663
LOC115110	9.647219	9.901613	8.926807	7.7316256	8.913354	8.508644	8.852205	8.40258	6.9586654	8.725079	7.405962
LOC100133445	7.4750166	7.791482	7.8058553	6.225273	7.761821	7.9985557	7.7887516	7.3819995	6.3162174	8.0479	6.8022633
TNFRSF14	11.652141	11.535022	11.537188	10.396109	10.8898945	11.587658	11.121537	10.74641	10.82903	11.634647	10.847514
FAM213B	10.12024	10.036486	10.434048	9.614465	10.828401	10.766283	10.882915	10.776684	9.958666	11.295828	10.681546
MMEL1	8.731197	6.6909547	7.8222184	5.1921062	7.7333455	7.7434587	8.153626	8.301	5.3509827	8.302578	5.884725
TTC34	0	2.091042	1.7669362	1.7658414	1.821654	0	1.9917388	2.7464108	0.95866543	1.3896887	0.12983781
FLJ42875	8.830733	8.421959	8.163541	7.069622	10.444438	9.57019	10.063201	9.309743	8.810414	9.7116165	9.807557
PRDM16	8.817312	9.024733	9.513451	7.7316256	9.890969	8.206664	9.714205	9.438902	7.7788444	9.343885	9.266829
ARHGEF16	10.63656	10.393681	10.734162	8.459329	9.876936	9.695164	9.95174	9.655018	8.588022	10.179222	9.8863945
MEGF6	7.7369113	8.178505	6.854399	8.557004	7.2810855	6.008471	6.879264	6.8815703	8.9359455	7.7384167	7.7664623
TPRG1L	10.822696	10.747467	11.126686	9.77567	10.52694	11.00538	10.591652	10.68557	10.1681185	10.894507	10.2947445
WRAP73	8.865053	8.399381	8.302212	8.027936	7.654544	8.117854	7.533997	7.5089116	7.686586	8.3896885	7.773694
TP73	2.5612724	2.4129703	3.3518987	4.158159	4.357707	3.5190861	4.062128	4.462618	5.206593	4.0901284	4.9371924
TP73-AS1	7.8572054	7.727667	7.5218234	8.743121	8.297387	7.8901086	8.530897	8.663569	9.040814	8.628094	8.680585
LOC388588	4.277479	4.091042	2.936861	3.5731962	5.4304633	6.8847356	6.1127543	5.9163356	6.4505186	8.137881	6.451766
LRRC47	9.660808	9.582895	9.315758	9.622267	9.6783905	9.524279	9.749295	9.731846	10.080199	10.195433	10.154978
CEP104	9.126782	9.1890745	9.282636	8.829236	8.8484535	7.9114037	8.898629	8.854936	8.588022	9.206673	8.826805
DFFB	7.748271	7.6379366	8.033723	7.0137687	7.1579375	7.873929	7.424698	6.821699	7.0030594	7.8974833	7.18512
C1orf174	8.401376	8.135436	8.01011	8.305	8.639277	9.273973	8.407903	8.3140955	8.602522	8.661152	8.368242
LOC100133612	4.454357	3.7914817	4.3518987	3.0877693	3.2001655	2.6260014	3.3702505	3.260984	0	3.3896887	2.1298378
AJAP1	2.7539175	4.3389697	2.936861	3.8533041	2.3070807	2.4036088	3.9917388	2.939056	2.543628	3.8491204	3.7148004
NPHP4	6.180182	6.3389697	5.744216	6.9155884	6.7285447	6.085433	6.809362	6.5972676	6.9810333	6.0043983	7.0367284
KCNAB2	8.150522	8.324661	8.033723	8.445321	5.821654	5.3422084	6.2243996	6.1485095	8.118537	6.637616	6.5221553
CHD5	2.9238424	5.2609673	1.3518987	5.788209	1.821654	0	1.6698107	4.108981	3.7660203	4.4771514	3.5892694
RPL22	10.71609	10.500433	10.841078	10.790981	10.815441	10.808041	11.08238	10.891797	10.94593	10.937548	11.323363
RNF207	7.3538303	6.7775426	6.2098794	7.3127356	6.418589	6.1040487	6.437995	6.331373	8.187484	6.637616	6.816338
ICMT	10.761645	10.255949	11.125587	10.454966	10.544803	10.117854	10.5239	10.704757	10.652152	10.4877205	10.731608
GPR153	8.02538	8.653284	8.769752	9.251671	9.172152	8.334346	9.018538	9.076047	10.391208	9.885544	10.044223
ACOT7	11.017774	10.662795	11.005341	9.919394	9.063875	9.519086	9.641355	9.790805	10.00579	9.965228	9.238362
HES2	2.7539175	4.3389697	4.6738267	3.7658415	8.496905	6.403609	4.7990937	5.6394954	4.1285906	3.3896887	5.2997627
ESPN	10.9700575	10.285799	11.268275	9.107916	11.0384	11.394658	11.282218	11.025192	10.348834	11.869974	11.000202
TNFRSF25	8.84138	7.683499	7.4948564	7.7316256	7.597758	7.9271708	7.7196593	6.6939435	6.7915554	8.260054	7.289709
PLEKHG5	7.6668067	7.9048233	7.5351205	8.398836	8.646931	8.206664	8.384056	7.646415	8.810414	8.534347	8.299763
NOL9	8.300812	8.11341	7.9318433	8.233447	8.26791	7.1495633	8.193373	8.520256	8.4180975	8.197043	8.124191
TAS1R1	1.7539176	0.09104211	1.7669362	2.0877693	0	0	1.6698107	1.5240184	2.543628	1.3896887	0
ZBTB48	8.342632	8.300495	7.9861045	8.032628	8.035001	8.126986	8.145544	7.618536	8.528521	8.92107	8.344157
KLHL21	8.450885	8.513107	8.258789	9.129976	8.900605	7.921934	8.591652	8.824752	9.972686	9.157873	9.166012
PHF13	8.209245	8.280867	8.3253565	8.87175	8.894189	8.4661045	9.121021	9.133813	9.163237	8.782006	8.91774
THAP3	7.412129	7.1995664	7.1847887	7.5667415	7.357707	8.29438	7.2622676	6.6669765	8.543628	7.832632	7.69208
DNAJC11	8.690556	8.991909	9.218147	8.6697235	8.667144	8.013403	8.75196	8.927741	8.426271	8.93272	8.777296
CAMTA1	9.483539	9.191705	9.558099	9.11457	8.773521	9.659425	9.165666	9.101447	9.34237	9.442257	8.94041
VAMP3	10.876745	10.691884	11.137624	10.227321	10.14268	10.730039	10.34312	10.293305	10.218409	10.1628275	10.127017
PER3	9.344504	9.376444	9.242669	9.287442	6.991579	5.8630404	6.829682	7.068339	6.6310906	6.518972	6.174232
TNFRSF9	3.8413804	2.4129703	2.766936	4.5731964	1.0846884	1.4036089	1.2547731	2.5240185	0.95866543	3.5596137	1.1298379
PARK7	10.882556	10.599827	10.914141	10.810235	10.555686	11.404548	10.524679	10.617656	11.637265	10.897483	11.124898
ERRFI1	10.738336	11.219681	11.196866	10.070763	10.2259445	9.927171	10.663457	10.62205	10.0193615	9.577041	10.398964
SLC45A1	5.001845	5.705752	4.9763894	6.395198	5.357707	5.244911	5.8195577	5.771946	7.8655562	6.729539	6.5221553
RERE	10.463001	10.870761	10.780259	10.893836	11.016903	9.182781	10.917738	11.065761	11.11095	10.813855	11.049446
ENO1	13.320329	12.809575	13.253142	12.594375	12.66196	13.014173	12.996099	12.88724	12.961832	13.088827	12.966283
SLC2A7	6.862442	5.645631	6.9763894	2.3508039	0	0.81864643	4.313667	3.260984	0	2.3896887	0.12983781
SLC2A5	12.644752	11.94162	12.444655	8.845326	5.023288	6.1761985	8.239666	7.7782598	5.6591053	6.729539	4.9371924
GPR157	4.33888	4.791482	4.7669363	3.225273	4.3070807	3.8186464	4.062128	4.331373	0.95866543	4.711617	2.7148004
H6PD	10.409449	10.433117	10.290498	10.96674	11.126803	9.384701	10.871935	11.14118	11.476335	10.930785	11.170813
SPSB1	10.390542	10.502553	10.519317	9.7658415	9.753573	9.646783	9.902231	10.32815	11.625777	10.238312	10.741785
SLC25A33	6.128957	5.41297	5.226368	5.4937615	5.7091794	5.9683933	5.576701	5.553766	5.206593	5.599142	5.773694
TMEM201	7.196861	7.430892	7.052338	7.8533044	7.7523913	6.6260014	7.741273	7.790805	8.316217	8.228892	8.517855
PIK3CD	8.531995	8.408455	8.388988	9.080991	5.2810855	4.9885716	5.6240067	4.462618	5.713553	6.1970434	5.451766
C1orf200	0	0	0	1.3508037	0.49972585	1.8186464	0	0	0	0	0
CLSTN1	11.061118	11.084688	11.0534935	11.341381	11.338535	9.86577	11.170652	11.28889	12.025428	11.475825	11.70821
CTNNBIP1	9.057698	9.062586	9.300266	9.090022	9.492664	10.130395	8.950582	9.133813	9.801016	9.0371475	9.539228
LZIC	8.67873	8.690955	8.931843	8.448836	8.587189	9.106359	8.527792	8.462618	7.1084127	7.832632	7.9627275
NMNAT1	8.615005	8.408455	8.484612	8.285478	8.513746	9.09011	8.612325	8.301	8.035481	8.51381	8.233126
RBP7	6.001845	6.0217795	4.2904983	6.158159	2.8216538	3.9061093	1.2547731	1.9390559	0	0	1.1298379
UBE4B	9.94127	9.976738	10.046547	9.993457	10.031107	8.932388	10.174629	10.269973	9.683179	9.788432	10.065002
KIF1B	10.008946	10.362505	10.176327	10.29234	9.820526	8.193686	9.693565	9.874221	9.14354	9.167766	9.3245945
PGD	11.7301235	11.265344	11.674953	10.621489	10.969876	11.1844225	10.855925	11.068339	10.953019	11.099634	11.153592
APITD1	6.261712	6.2609673	5.8754606	5.4937615	6.00752	6.3422084	6.0096607	6.0475802	5.8655562	5.2965794	5.857758
CORT	3.213349	2.6760044	3.4673758	2.5731962	1.0846884	1.8186464	1.2547731	0.9390559	1.9586655	2.7116168	0.12983781
DFFA	8.372303	8.074036	8.467376	8.466281	8.468392	8.734526	8.306436	8.331373	8.753081	8.444971	8.755547
PEX14	9.034688	8.774036	8.911594	8.358298	8.605635	9.0084715	8.964432	8.759234	9.46646	9.369828	9.11568
CASZ1	9.863749	9.722219	10.062705	9.543919	9.324684	7.6388254	9.638477	9.346324	8.19707	9.278432	8.766462
C1orf127	3.7539175	4.2609673	4.226368	3.9357665	4.892043	4.278078	3.4771657	3.7464108	1.9586655	3.974651	4.129838
TARDBP	10.62274	10.591884	10.441129	10.559444	10.484144	9.873929	10.579703	10.46751	9.401609	9.661152	10.191884
MASP2	5.2457705	6.430892	4.6738267	5.3204303	4.629009	5.1761985	5.5524535	4.8932524	4.7660203	4.3896885	3.7148004
SRM	8.471594	8.487647	8.691749	8.807501	8.696942	9.219526	8.537089	9.0734825	11.059328	9.498213	9.970615
EXOSC10	9.593122	9.624372	9.690264	9.665198	9.764169	9.565161	9.738589	9.730219	9.536095	9.756011	9.909557
MTOR	9.443915	9.745678	9.713842	9.74169	9.871503	8.487532	9.865798	10.0037985	9.182667	9.392504	9.819836
ANGPTL7	5.5868077	5.734898	2.574291	3.466281	0	0.81864643	2.8397357	1.5240184	4.2805934	2.974651	0
UBIAD1	7.9338264	8.03941	8.508403	8.20047	8.227646	8.290321	8.185511	8.474331	8.659105	8.559613	8.837197
PTCHD2	1.7539176	3.4129703	1.7669362	3.466281	4.2001657	2.6260014	1.2547731	2.7464108	3.543628	3.5596137	3.8302774
FBXO2	9.211298	8.173191	9.315758	6.8102355	9.524865	10.457987	10.135377	10.087532	8.316217	11.354752	9.389581
FBXO44	8.269617	8.255949	8.167815	7.328084	7.917578	8.613062	8.273437	7.759235	8.847408	8.944278	7.9111977
