Category	ID	Term	P.Value	q-value Bonferroni	adj_pval	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Genes
Pathway	477133	Meiosis	0.00000187	0.00338	0.00338	0.0273	17	118	"HIST1H2BF, HIST1H2BE, HIST1H3I, HIST1H3B, HIST1H4D, HIST1H4F, HIST1H4B, HIST1H4E, STAG2, NBN, HIST1H3F, H2AFX, H3F3B, UBE2I, ACD, RAD21, RBBP8"
Pathway	198779	MAPK signaling pathway	0.0000151	0.0272	0.00616	0.0498	19	166	"MEF2C, MAP2K4, MAP4K3, MAP3K7, CASP1, ATF2, PPM1A, PPM1B, MAPK14, PPP3R1, PRKCH, MAPK6, MAPK9, MAP2K7, JUND, KRAS, RAF1, RAP1B, RASA2"
Pathway	905991	Cellular Senescence	0.0000166	0.0299	0.00616	0.0498	20	182	"ERF, HIST1H2BF, HIST1H2BE, HIST1H3I, HIST1H3B, HIST1H4D, HIST1H4F, HIST1H4B, HIST1H4E, MAP2K4, NBN, HIST1H3F, H2AFX, H3F3B, CDC27, ANAPC4, MAPK14, MAPK9, MAP2K7, ACD"
Pathway	106552	RNA Polymerase I Promoter Opening	0.0000199	0.0358	0.00616	0.0498	11	63	"HIST1H2BF, HIST1H2BE, HIST1H3I, HIST1H3B, HIST1H4D, HIST1H4F, HIST1H4B, HIST1H4E, HIST1H3F, H2AFX, H3F3B"
Pathway	M13863	MAPKinase Signaling Pathway	0.0000205	0.037	0.00616	0.0498	13	87	"MEF2C, MAP2K4, MAP4K3, MAP3K7, RPS6KA4, CHUK, HRAS, ATF2, MAPK14, MAPK6, MAPK9, MAP2K7, RAF1"
Pathway	205242	Meiotic Recombination	0.0000205	0.037	0.00616	0.0498	13	87	"HIST1H2BF, HIST1H2BE, HIST1H3I, HIST1H3B, HIST1H4D, HIST1H4F, HIST1H4B, HIST1H4E, NBN, HIST1H3F, H2AFX, H3F3B, RBBP8"
Pathway	645258	Cellular responses to stress	0.0000257	0.0465	0.00664	0.0536	21	203	"ERF, HIST1H2BF, HIST1H2BE, HIST1H3I, HIST1H3B, HIST1H4D, HIST1H4F, HIST1H4B, HIST1H4E, CUL2, MAP2K4, NBN, HIST1H3F, H2AFX, H3F3B, CDC27, ANAPC4, MAPK14, MAPK9, MAP2K7, ACD"
Pathway	105903	Insulin Processing	0.000036	0.065	0.00813	0.0656	7	26	"SLC30A6, EXOC5, EXOC1, EXOC6, SLC30A7, SLC30A5, RAB27A"
Pathway	585563	Alcoholism	0.0000472	0.0851	0.00946	0.0764	19	180	"HIST1H2BF, HIST1H2BE, HIST1H3I, HIST1H3B, HIST1H4D, HIST1H4F, HIST1H4B, HIST1H4E, CAMKK2, HIST1H3F, H2AFX, H3F3B, SHC2, HRAS, HIST1H2AH, ATF2, PPP1CB, KRAS, RAF1"
Pathway	167325	Protein processing in endoplasmic reticulum	0.0000565	0.102	0.0101	0.0814	18	167	"YOD1, MBTPS2, SEC24B, SEC23A, SEL1L, SSR1, ERP29, CAPN1, SEC62, HSPBP1, EIF2AK3, UBQLN1, DERL1, PDIA4, EDEM1, MAPK9, MAP2K7, RAD23A"
