gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
1/2-SBSRNA4	10	10	10	3	2	4	6	6	0	2	4
A1BG	73	137	33	58	290	98	85	24	56	49	32
A1BG-AS1	5	3	9	11	15	2	7	7	8	10	0
A1CF	710	441	776	663	48	423	350	400	1551	1174	1707
A2LD1	157	183	117	84	77	61	71	97	116	125	241
A2M	6581	4205	5563	4509	5727	3051	9524	11097	9334	10741	6828
A2ML1	0	1	4	0	0	0	3	2	0	4	0
A2MP1	0	0	0	0	0	0	0	4	1	0	1
A4GALT	99	79	129	203	151	217	89	269	166	195	107
A4GNT	160	3	1	0	3	2	10	0	2	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0
AAA1	3	4	2	5	0	0	1	0	1	0	0
AAAS	703	607	703	552	521	607	731	588	590	507	510
AACS	941	581	519	495	253	332	622	492	745	532	708
AACSP1	2	2	2	0	0	3	3	2	0	0	0
AADAC	3970	7364	3344	3265	383	1916	1237	1168	4513	2559	5309
AADACL2	0	0	1	1	0	0	0	0	8	9	5
AADACL3	0	3	0	0	0	0	0	0	0	0	0
AADACL4	2	3	0	2	0	1	0	5	0	0	0
AADAT	260	191	141	177	46	115	160	125	24	24	13
AAGAB	1025	1021	828	693	193	336	484	566	895	501	878
AAK1	546	151	550	590	246	313	349	522	810	671	848
AAMP	2439	2349	2335	1750	1361	1989	2132	1642	2580	1635	2506
AANAT	0	0	3	1	0	0	1	0	1	2	1
AARS	1506	1078	1598	1307	920	1054	1622	1877	1553	1262	1599
AARS2	520	142	520	316	159	228	432	420	472	430	490
AARSD1	377	339	419	405	248	243	336	421	320	256	309
AASDH	181	157	226	139	44	83	115	203	138	114	142
AASDHPPT	320	373	356	242	115	149	234	311	226	199	253
AASS	177	88	221	160	45	90	126	332	109	219	114
AATF	771	372	752	574	324	501	718	657	768	595	901
AATK	1825	639	1781	1091	278	1237	1007	607	1943	1326	1548
AATK-AS1	1	1	9	9	3	6	6	3	0	0	0
ABAT	1752	1048	2085	1882	241	1296	923	715	1681	1511	3102
ABCA1	545	135	209	201	148	118	175	498	214	326	434
ABCA10	20	13	56	19	13	3	1	64	52	83	48
ABCA11P	144	143	110	88	29	81	77	69	68	48	47
ABCA12	1	0	3	7	0	1	0	2	1	2	3
ABCA13	9	4	3	5	0	3	4	24	2	2	0
ABCA17P	1	1	1	1	4	4	0	3	5	6	2
ABCA2	792	189	696	518	514	437	690	716	573	652	689
ABCA3	205	84	153	257	61	125	124	339	188	243	154
ABCA4	72	62	85	55	11	11	58	88	149	111	261
ABCA5	724	581	761	503	12	92	60	345	693	665	593
ABCA6	2	7	6	10	0	6	3	112	102	133	58
ABCA7	144	18	52	30	20	28	79	221	344	239	248
ABCA8	19	55	46	27	37	17	5	355	350	605	410
ABCA9	8	37	16	8	6	6	2	140	70	117	23
ABCB1	55	27	12	162	6	1	6	762	3479	2210	3203
ABCB10	446	425	410	359	53	178	147	305	376	293	508
ABCB11	1	0	2	0	0	3	0	0	0	1	3
ABCB4	14	9	4	3	1	1	3	44	16	19	12
ABCB5	0	0	0	0	0	0	0	0	4	1	0
ABCB6	568	573	797	628	203	664	394	268	394	193	394
ABCB7	583	741	724	546	96	275	241	356	673	486	594
ABCB8	741	687	661	561	357	394	521	423	653	453	649
ABCB9	94	74	79	71	51	63	47	74	104	93	123
ABCC1	996	236	841	815	503	501	663	1009	486	562	460
ABCC10	527	207	434	392	145	327	379	300	334	355	358
ABCC11	5	1	2	2	0	0	2	6	5	11	38
ABCC12	1	0	0	0	0	0	0	0	0	0	0
ABCC13	16	61	26	18	5	4	2	16	61	59	89
ABCC2	285	406	672	802	14	417	67	353	2142	1603	1468
ABCC3	4860	1777	2266	1678	278	1103	1705	824	1895	1664	2394
ABCC4	433	326	444	330	46	127	168	391	388	338	357
ABCC5	377	184	251	156	122	109	172	515	555	459	326
ABCC6	1689	740	1538	1405	234	1170	699	585	1090	1015	739
ABCC6P1	351	280	340	216	40	189	128	115	95	62	105
ABCC6P2	99	136	98	82	54	86	106	52	76	31	49
ABCC8	314	122	73	124	18	120	137	57	26	36	31
ABCC9	338	232	389	480	185	75	125	932	228	221	101
ABCD1	712	287	610	536	411	488	518	567	1653	984	1742
ABCD2	6	9	12	10	2	3	2	37	25	19	36
ABCD3	1430	1185	963	813	89	183	267	720	1401	907	2206
ABCD4	919	1046	898	737	228	490	477	574	1183	916	964
ABCE1	296	306	308	247	73	101	168	248	247	160	285
ABCF1	1	0	2	1	0	0	1	1	0	0	1
ABCF2	753	662	574	496	418	526	804	654	582	416	586
ABCF3	979	630	999	717	256	532	529	602	915	698	904
ABCG1	499	376	86	89	24	20	38	252	1723	1100	3170
ABCG2	71	199	244	209	61	77	39	611	4775	2720	6536
ABCG4	6	2	9	11	14	5	6	21	9	8	3
ABCG5	10	51	162	272	10	62	1	369	2906	2581	2918
ABCG8	28	32	207	409	7	102	7	339	2400	2072	3496
ABHD1	1	2	6	7	1	4	4	5	8	9	2
ABHD10	364	502	341	232	109	170	183	343	329	257	316
ABHD11	746	884	757	481	264	657	553	377	799	526	856
ABHD11-AS1	107	265	158	76	53	121	47	37	523	219	405
ABHD12	1734	1708	1143	967	719	1066	1092	732	1750	1213	2134
ABHD12B	0	0	1	3	0	2	2	3	0	5	2
ABHD13	285	317	264	173	57	77	83	192	250	178	303
ABHD14A	201	231	112	76	148	185	269	136	110	60	74
ABHD14A-ACY1	0	0	0	0	0	1	0	0	0	0	2
ABHD14B	1557	1785	1240	1011	616	937	1024	1336	3144	2009	2944
ABHD15	930	571	865	708	202	761	488	426	835	540	877
ABHD16A	1	2	0	0	0	0	0	0	3	0	0
ABHD16B	89	66	90	43	56	63	65	90	126	70	76
ABHD2	6832	1696	6019	6803	463	1960	1581	2603	6390	5188	12175
ABHD3	551	806	505	521	61	219	160	337	1404	804	1880
ABHD4	1031	630	788	656	851	596	952	828	1360	853	1109
ABHD5	472	576	713	696	83	277	181	299	982	934	1772
ABHD6	720	1183	1471	1275	133	971	207	663	2222	1748	3452
ABHD8	375	319	198	197	372	256	326	344	149	104	121
ABI1	1279	1304	1024	798	249	499	578	833	965	732	1416
ABI2	744	434	668	713	365	410	539	1046	425	406	304
