ID	adj.P.Val	P.Value	logFC
TNFRSF18	0.001731497	2.95E-05	-5.3106856
C1orf86	0.035087574	0.003189343	1.0930862
FAM213B	0.03390929	0.003010395	0.7622614
LOC388588	0.015674477	9.31E-04	2.366428
KCNAB2	0.001348435	1.97E-05	-2.354364
PER3	0.002288396	4.47E-05	-2.6246042
SLC2A5	0.046236053	0.004920963	-4.664736
PIK3CD	8.55E-04	9.95E-06	-3.5135365
RBP7	0.03715258	0.003483911	-3.1376724
CORT	0.012420002	6.44E-04	-1.7081906
PLOD1	0.039162427	0.003785555	0.51282024
TNFRSF1B	0.005109396	1.55E-04	-2.011551
CLCNKB	0.015138262	8.66E-04	2.4194217
ARHGEF19	0.021665107	0.001527853	1.1665821
MFAP2	0.027431954	0.00216441	3.7278886
PADI2	0.027131753	0.002133024	2.8241687
ARHGEF10L	0.015402222	8.96E-04	1.4257488
KLHDC7A	0.004857609	1.41E-04	3.1038697
AKR7L	0.003269767	7.85E-05	-4.925824
AKR7A3	0.01201821	6.09E-04	-6.023111
PLA2G2A	2.76E-04	1.38E-06	-8.0040865
PLA2G2D	0.001280704	1.84E-05	-4.6971235
UBXN10	0.03178116	0.002751108	-1.7481437
PINK1	0.03624234	0.003353296	-0.5751295
CELA3A	0.004631756	1.30E-04	2.8108802
KDM1A	0.008120722	3.35E-04	0.47600845
HTR1D	0.014791932	8.31E-04	-6.7920947
CNR2	0.02769903	0.002209067	-2.4293966
MYOM3	0.017304363	0.001075568	3.0560145
RCAN3	0.011804174	5.88E-04	1.4521475
C1orf130	0.039458815	0.003861441	2.1228857
RUNX3	0.006056962	2.05E-04	-6.572434
MAN1C1	0.04921349	0.00544405	-1.1787844
FAM110D	0.011898288	5.95E-04	-3.2538104
CD52	3.31E-04	1.95E-06	-7.5670037
ZDHHC18	0.024840072	0.001869668	-1.0861987
GPATCH3	0.048016578	0.005252197	0.4202909
SYTL1	0.038556788	0.003688329	-1.6959866
FGR	7.82E-04	8.52E-06	-6.748975
C1orf38	0.004602693	1.28E-04	-5.3142548
PTAFR	0.001219734	1.71E-05	-3.3313408
SESN2	0.026791848	0.002087333	0.739276
RAB42	0.02601733	0.002007013	2.65491
LAPTM5	0.018401869	0.001179299	-3.7857962
TINAGL1	0.007609414	2.95E-04	1.1256561
LCK	9.66E-04	1.24E-05	-5.5996275
CSF3R	0.004826401	1.40E-04	-5.6889167
GRIK3	0.004924239	1.45E-04	-6.145162
BMP8A	0.031607985	0.002732529	-2.3186255
MYCL1	1.42E-04	4.14E-07	-2.6470432
SMAP2	0.011919566	5.97E-04	-1.696227
GUCA2A	0.009908848	4.54E-04	-3.769372
ERMAP	0.009568982	4.29E-04	0.7735653
B4GALT2	0.021444295	0.001497384	0.9843273
SNORD55	0.04484321	0.004691267	1.6257308
LRRC41	0.001430505	2.17E-05	0.53734213
PDZK1IP1	0.011351254	5.54E-04	-5.2658043
MGC12982	0.027742218	0.002217236	2.1436744
FOXD2	0.001200925	1.68E-05	4.625133
ELAVL4	0.011471215	5.63E-04	-4.8120217
TTC39A	0.045232326	0.004760217	1.6554637
FAM159A	0.009684186	4.38E-04	-2.3840926
SLC1A7	0.008596174	3.64E-04	-3.2268562
LRRC42	0.02003346	0.001340719	1.0219517
DHCR24	0.027696472	0.002207291	0.6335506
KANK4	0.018294796	0.00117036	2.8886356
ATG4C	0.0072578	2.77E-04	-0.7539711
LEPR	0.015053076	8.54E-04	-2.185102
PDE4B	0.037831247	0.003592721	-1.6223906
TCTEX1D1	0.029864535	0.002466532	-2.416674
IL12RB2	0.015511035	9.11E-04	-3.6882637
DIRAS3	0.03224804	0.002806284	-2.7234683
TYW3	0.005081493	1.53E-04	-1.1456347
MCOLN2	0.001187912	1.64E-05	-4.3136406
MCOLN3	0.002606701	5.52E-05	2.089273
HS2ST1	0.021416912	0.001490443	0.44540212
GBP2	0.003186587	7.52E-05	-0.9041195
GBP4	6.80E-04	6.56E-06	-2.9642906
GBP5	4.08E-04	2.82E-06	-5.742644
LRRC8C	0.041117813	0.004125486	-1.2957448
GFI1	0.003525682	8.69E-05	-3.289826
VAV3	0.006087496	2.07E-04	2.3804636
GSTM5	5.53E-04	4.68E-06	-6.8868856
CSF1	0.038556788	0.00369219	-1.4710422
KCNA3	0.03085371	0.002626459	-4.10316
DENND2D	0.034791447	0.00314524	-1.5939322
CHI3L2	0.003991573	1.05E-04	-5.4663157
WDR77	0.009970854	4.61E-04	0.88448614
C1orf162	0.004910832	1.44E-04	-3.7150416
PTPN22	0.002488019	5.18E-05	-4.205597
CD2	8.84E-04	1.06E-05	-8.653675
CD101	3.17E-04	1.82E-06	-3.9823072
HSD3BP4	0.012016579	6.07E-04	2.3672748
PHGDH	0.0475642	0.00515962	2.720852
POLR3GL	0.020010252	0.001336894	-0.42816448
CD160	0.005465682	1.74E-04	-6.29379
C1orf51	0.017754365	0.001112636	-1.7691898
MCL1	0.028381659	0.002303785	-1.0387162
CTSK	0.04757342	0.005165917	-1.8811054
CDC42SE1	0.011494745	5.66E-04	-0.65726185
SEMA6C	0.04319497	0.004442827	-1.7926782
TNFAIP8L2	0.04143235	0.004167459	-4.716297
RIIAD1	0.046900235	0.005028639	2.8581758
THEM4	0.049812414	0.00556019	0.6690974
TCHH	1.15E-05	9.60E-09	-4.0039864
S100A8	0.021491067	0.001504143	-6.9816785
ILF2	0.048016578	0.005243559	0.6872463
ATP8B2	0.048779283	0.005366081	-2.1354074
IL6R	0.005164952	1.59E-04	-3.0818377
SHE	0.011244824	5.47E-04	-3.1251636
PBXIP1	0.015517104	9.14E-04	-0.7841091
ADAM15	0.011980478	6.03E-04	-1.0591888
RIT1	0.025594879	0.001959896	0.5129938
TTC24	0.021476662	0.001501916	-2.0186124
CRABP2	0.039294094	0.003836399	5.8567324
SH2D2A	0.012014558	6.06E-04	-3.597102
FCRL5	0.015106459	8.63E-04	-5.238226
FCRL4	0.004817988	1.39E-04	-3.0229957
FCRL3	8.01E-04	9.08E-06	-4.2381344
FCRL2	0.007960935	3.25E-04	-4.075835
CD1D	2.25E-04	9.48E-07	-3.563641
CD1C	6.63E-04	6.33E-06	-5.7537613
CD1E	4.22E-04	3.06E-06	-4.3528333
MNDA	0.002878599	6.37E-05	-5.9659395
PYHIN1	1.15E-05	1.17E-08	-5.237365
AIM2	6.05E-05	1.37E-07	-4.825115
CADM3	0.006108023	2.09E-04	-3.9688146
DARC	2.25E-04	9.45E-07	-8.113425
FCER1A	1.16E-05	1.25E-08	-6.2002892
FCRL6	3.18E-05	4.33E-08	-4.351281
SLAMF8	0.001753734	3.03E-05	-6.2811437
PIGM	0.011593754	5.72E-04	0.865067
KCNJ10	0.025437716	0.001942086	-1.725427
SLAMF6	7.96E-04	8.90E-06	-6.9919524
CD84	0.016091714	9.62E-04	-4.8904495
SLAMF1	2.55E-04	1.18E-06	-5.8715663
CD48	2.64E-04	1.26E-06	-8.305292
SLAMF7	4.95E-04	4.13E-06	-8.688107
LY9	7.37E-04	7.65E-06	-6.69899
CD244	1.15E-05	1.13E-08	-6.4710727
ITLN2	5.86E-04	5.29E-06	-8.001255
ARHGAP30	0.001317143	1.91E-05	-5.7307143
MPZ	0.04259195	0.004354209	-2.5868316
FCGR2A	0.007032907	2.65E-04	-4.2334714
HSPA6	0.015255915	8.82E-04	-3.9216928
HSPA7	0.003696466	9.46E-05	-4.807081
FCGR3B	0.011972084	6.02E-04	-5.212361
FCGR2B	3.73E-04	2.41E-06	-5.1565433
FCRLA	0.004843302	1.41E-04	-4.4662805
SH2D1B	0.011919566	5.97E-04	-3.7355516
FAM78B	0.04782764	0.005207096	-1.3032498
CD247	3.65E-04	2.28E-06	-7.868291
RCSD1	0.00171836	2.91E-05	-2.1611438
MPZL1	0.020692807	0.001423607	0.614623
XCL2	4.22E-04	3.04E-06	-5.466019
MGC4473	0.022180848	0.001576724	1.8547729
SELP	4.30E-04	3.24E-06	-6.1814795
SELL	0.001899681	3.46E-05	-6.169007
KIFAP3	0.044195764	0.004590921	-0.61317825
FMO3	0.049195632	0.005431255	2.4059505
FASLG	4.63E-04	3.69E-06	-4.971878
KLHL20	0.017260466	0.001070346	1.120491
KIAA0040	0.03982396	0.003934487	-0.4375592
FAM5B	0.023685483	0.001749152	-2.4199297
MR1	0.002658139	5.66E-05	-0.89647144
NCF2	0.015053076	8.54E-04	-5.9978995
C1orf21	0.009310742	4.10E-04	-0.6568355
RGS18	0.001901242	3.50E-05	-5.3383846
RGS1	0.006527994	2.33E-04	-3.194065
RGS13	0.002488019	5.18E-05	-4.4344587
RGS2	0.002963362	6.66E-05	-1.9195709
CFH	0.001726582	2.93E-05	-2.252738
PTPRC	0.001753734	3.04E-05	-8.524813
GPR25	0.027633417	0.002192854	-1.4249164
PKP1	0.001170041	1.61E-05	-3.9712596
GPR37L1	0.015264394	8.86E-04	-2.864079
ARL8A	0.048016578	0.005250842	-0.4427919
PTPN7	3.46E-04	2.14E-06	-6.9431515
LOC148709	0.040909953	0.004087234	1.2484217
FMOD	0.007702091	3.06E-04	2.2125063
LAX1	5.75E-04	5.09E-06	-5.65512
ETNK2	0.006533774	2.33E-04	3.0341592
REN	0.01201821	6.08E-04	4.189736
RAB7L1	0.008603109	3.65E-04	1.6852665
RASSF5	0.004145104	1.11E-04	-4.476342
IL10	0.040686887	0.004048596	-2.7505329
FAIM3	0.014973449	8.45E-04	-3.456448
PIGR	0.0475642	0.005162216	-2.6126823
CR1	0.008341155	3.49E-04	-4.5697384
TRAF3IP3	0.001141571	1.56E-05	-3.0808434
BATF3	0.018959284	0.001235469	-2.5155628
PROX1-AS1	0.030119788	0.002504905	-1.4614615
TLR5	0.049812414	0.005561731	-1.3651366
PYCR2	0.02221275	0.001581131	-0.3120222
GJC2	0.030301243	0.00253528	1.6197534
ACTA1	0.040909953	0.004084991	4.7981358
AGT	0.00456241	1.26E-04	2.7902288
LYST	0.02162202	0.001520672	-1.488338
GPR137B	0.004104707	1.09E-04	-1.7775159
WDR64	0.013577502	7.29E-04	-1.240675
ZNF238	0.040909953	0.004075807	-0.79289395
ADSS	0.008661673	3.70E-04	0.39710048
NLRP3	0.006131627	2.11E-04	-5.153607
C1orf150	0.003609875	9.04E-05	-3.315477
TRIM58	0.017318862	0.001078435	-3.5539157
PFKP	0.042420458	0.004329454	-1.6841831
AKR1C1	0.032387372	0.002825679	1.6845121
AKR1C2	0.030268226	0.002527363	1.8269234
ANKRD16	0.005810091	1.93E-04	-0.8386856
IL15RA	0.006736048	2.48E-04	-1.4582033
IL2RA	7.17E-04	7.33E-06	-6.741213
SFMBT2	0.001963867	3.62E-05	-2.658246
