ID	adj.P.Val 	P.Value	logFC
B3GALT6	0.038155176	0.001018302	-1.1792479
CPSF3L	0.037137497	9.35E-04	-0.58767134
GLTPD1	0.042570625	0.001423714	-0.8722
VWA1	0.040525112	0.001256207	-1.2486477
LRRC47	0.031548936	5.17E-04	-0.47258374
AKR7L	0.03896413	0.001094809	1.5698066
PTP4A2	0.048118025	0.002002073	0.7821808
YARS	0.039410226	0.001172225	-0.3647203
ZMYM6	0.01475596	2.40E-05	1.221158
ZMYM1	0.039003514	0.001105953	1.0175794
ZMPSTE24	0.04184885	0.001363799	1.0068102
DPH2	0.04495878	0.001724542	-0.64567655
RNF220	0.009834325	1.17E-05	-0.75350475
LRRC41	0.03885565	0.001080733	-0.49788192
CMPK1	0.038155176	0.001008606	1.3884276
SCP2	0.037589673	9.62E-04	1.0528746
MYSM1	0.0401709	0.001235887	1.6897202
IL23R	0.018372724	1.14E-04	1.5614936
LRRC40	0.013677212	1.90E-05	1.3497491
SRSF11	0.04456651	0.001667256	0.591693
USP33	0.016834708	6.82E-05	1.1490822
FAM73A	0.018372724	1.17E-04	1.3707585
SSX2IP	0.04733247	0.001949195	1.3775129
HS2ST1	0.037720498	9.79E-04	1.2063732
PKN2	0.0451032	0.001751601	1.6133612
LRRC8D	0.022976268	1.77E-04	0.7635793
ABCD3	0.023710215	2.09E-04	1.9561124
TMEM56	0.024237521	2.35E-04	1.8017335
PTBP2	0.018372724	1.20E-04	1.6128435
AGL	0.039003514	0.001103285	1.2714181
SLC35A3	0.015034214	5.35E-05	2.0133228
HIAT1	0.048811924	0.002119607	0.9651036
SLC30A7	0.016977346	7.67E-05	0.9778285
FAM102B	0.009441776	5.59E-06	0.86570305
STXBP3	0.031548936	5.00E-04	0.8774123
TMEM167B	0.040855195	0.00127893	0.81437016
SLC16A1	0.03191301	6.05E-04	1.0626553
BCL2L15	0.02343135	1.95E-04	2.4167595
SIKE1	0.045715984	0.00182428	0.54225636
TBX15	0.031598326	5.27E-04	2.160371
PRKAB2	0.015034214	4.88E-05	1.1832294
CHD1L	0.044388056	0.00164399	0.57576275
SF3B4	0.023675116	2.06E-04	-0.70946974
IL6R	0.045887325	0.001864978	1.5078602
PYGO2	0.023940785	2.14E-04	-0.5135298
FAM189B	0.0316745	5.48E-04	-0.8040905
RUSC1	0.0275005	3.32E-04	-0.52900404
YY1AP1	0.045887325	0.001863821	-0.5085497
TMEM79	0.018372724	1.06E-04	-0.7366609
ISG20L2	0.009834325	1.00E-05	-0.81172657
PRCC	0.016834708	6.98E-05	-0.74885464
KCNJ10	0.04733247	0.001941677	1.524291
USP21	0.018372724	1.14E-04	-0.91701406
UAP1	0.032815818	6.69E-04	0.7705068
ATP1B1	0.0438191	0.001574479	0.7769785
C1orf27	0.018372724	1.17E-04	0.9100675
UCHL5	0.031847183	5.81E-04	1.1857667
ZBTB41	0.045205362	0.001780406	1.1679777
DENND1B	0.031847183	5.76E-04	1.4708829
NEK7	0.03473785	7.75E-04	1.5717219
TMEM183A	0.0392689	0.001150182	1.8066027
YOD1	0.044960186	0.001735422	1.8003287
RCOR3	0.023940785	2.18E-04	0.7771659
KCTD3	0.026652822	3.09E-04	0.97413445
GPATCH2	0.028047524	3.41E-04	0.9854431
FBXO28	0.04257313	0.001464456	0.8879561
PYCR2	0.04102897	0.001291513	-0.98715496
GJC2	0.02343135	1.97E-04	-1.8007231
PPPDE1	0.025624868	2.69E-04	0.6359158
CNST	0.015490131	5.89E-05	0.8279333
SCCPDH	0.0424156	0.00139091	0.65472984
AKR1C4	0.031847183	5.62E-04	3.090739
OPTN	0.044388056	0.001642442	0.63089365
ARL5B	0.031847183	5.59E-04	1.744091
NEBL	0.01756529	9.11E-05	1.7977092
LOC100499489	0.045205362	0.001785011	-1.1719102
YME1L1	0.024237521	2.34E-04	0.41919807
ACBD5	0.019340383	1.31E-04	1.4090632
CUL2	0.02427738	2.40E-04	1.0324907
IPMK	0.041085895	0.001308349	2.0509481
RUFY2	0.018372724	1.07E-04	1.0109525
VPS26A	0.0460758	0.001877869	0.82439905
FAM35A	0.044874348	0.001714278	1.2169776
EXOC6	0.0438191	0.001566558	0.98152304
CHUK	0.036121827	8.53E-04	1.1552477
HPS6	0.025768407	2.78E-04	-0.71737957
SMNDC1	0.048636388	0.002082727	0.3891668
SHOC2	0.043096628	0.00150448	1.3898711
GPAM	0.022976268	1.79E-04	0.9344611
C10orf118	0.039018385	0.001111837	1.3117247
FAM160B1	0.0424156	0.00139403	1.2982078
C10orf46	0.043347795	0.001518169	0.94928074
ATE1	0.025624868	2.71E-04	1.3153
FAM175B	0.03362994	7.08E-04	0.46218345
HRAS	0.031487543	4.90E-04	-1.3578677
PDDC1	0.04854245	0.002058308	-0.5662651
SLC25A22	0.0438191	0.001555113	-0.89203495
TSSC4	0.041401476	0.001330149	-1.0038289
LOC650368	0.015034214	4.71E-05	-2.0343342
ZNF215	0.032335564	6.22E-04	1.2242923
TMEM9B	0.04102897	0.001297221	1.4200869
RNF141	0.0316745	5.39E-04	0.6512384
COPB1	0.023940785	2.23E-04	1.092864
CYP2R1	0.048636388	0.002079052	0.8793845
SPTY2D1	0.030326776	4.27E-04	0.8149891
METTL15	0.031847183	5.86E-04	0.860065
CSTF3	0.042469896	0.001399758	0.5193095
API5	0.031487543	4.74E-04	0.8835821
C11orf96	0.044482134	0.001653846	-1.7814454
ZNF408	3.87E-04	4.40E-08	-0.78387207
CCDC86	0.026652822	3.14E-04	-1.0415225
PRPF19	0.026652822	3.03E-04	-0.61463445
CD5	0.015034214	5.12E-05	-1.1593972
INTS5	0.018372724	1.18E-04	-0.7662897
TAF6L	0.031847183	5.80E-04	-0.7986707
C11orf84	0.015029685	3.30E-05	-1.6776447
RPS6KA4	0.028594688	3.64E-04	-0.7253704
SAC3D1	0.03325763	6.87E-04	-1.2385402
C11orf2	0.030326776	4.25E-04	-0.5288877
CAPN1	0.041110884	0.001311479	-0.46111494
DPF2	0.01756529	8.84E-05	-0.7765522
KAT5	0.044643063	0.001684407	-0.695096
DPP3	0.0387722	0.001071929	-0.42838764
LRFN4	0.049781498	0.002192793	-1.40102
