ID	logFC
TNFRSF18	-5.3106856
C1orf86	1.0930862
FAM213B	0.7622614
LOC388588	2.366428
KCNAB2	-2.354364
PER3	-2.6246042
SLC2A5	-4.664736
PIK3CD	-3.5135365
RBP7	-3.1376724
CORT	-1.7081906
PLOD1	0.51282024
TNFRSF1B	-2.011551
CLCNKB	2.4194217
ARHGEF19	1.1665821
MFAP2	3.7278886
PADI2	2.8241687
ARHGEF10L	1.4257488
KLHDC7A	3.1038697
AKR7L	-4.925824
AKR7A3	-6.023111
PLA2G2A	-8.0040865
PLA2G2D	-4.6971235
UBXN10	-1.7481437
PINK1	-0.5751295
CELA3A	2.8108802
KDM1A	0.47600845
HTR1D	-6.7920947
CNR2	-2.4293966
MYOM3	3.0560145
RCAN3	1.4521475
C1orf130	2.1228857
RUNX3	-6.572434
MAN1C1	-1.1787844
FAM110D	-3.2538104
CD52	-7.5670037
ZDHHC18	-1.0861987
GPATCH3	0.4202909
SYTL1	-1.6959866
FGR	-6.748975
C1orf38	-5.3142548
PTAFR	-3.3313408
SESN2	0.739276
RAB42	2.65491
LAPTM5	-3.7857962
TINAGL1	1.1256561
LCK	-5.5996275
CSF3R	-5.6889167
GRIK3	-6.145162
BMP8A	-2.3186255
MYCL1	-2.6470432
SMAP2	-1.696227
GUCA2A	-3.769372
ERMAP	0.7735653
B4GALT2	0.9843273
SNORD55	1.6257308
LRRC41	0.53734213
PDZK1IP1	-5.2658043
MGC12982	2.1436744
FOXD2	4.625133
ELAVL4	-4.8120217
TTC39A	1.6554637
FAM159A	-2.3840926
SLC1A7	-3.2268562
LRRC42	1.0219517
DHCR24	0.6335506
KANK4	2.8886356
ATG4C	-0.7539711
LEPR	-2.185102
PDE4B	-1.6223906
TCTEX1D1	-2.416674
IL12RB2	-3.6882637
DIRAS3	-2.7234683
TYW3	-1.1456347
MCOLN2	-4.3136406
MCOLN3	2.089273
HS2ST1	0.44540212
GBP2	-0.9041195
GBP4	-2.9642906
GBP5	-5.742644
LRRC8C	-1.2957448
GFI1	-3.289826
VAV3	2.3804636
GSTM5	-6.8868856
CSF1	-1.4710422
KCNA3	-4.10316
DENND2D	-1.5939322
CHI3L2	-5.4663157
WDR77	0.88448614
C1orf162	-3.7150416
PTPN22	-4.205597
CD2	-8.653675
CD101	-3.9823072
HSD3BP4	2.3672748
PHGDH	2.720852
POLR3GL	-0.42816448
CD160	-6.29379
C1orf51	-1.7691898
MCL1	-1.0387162
CTSK	-1.8811054
CDC42SE1	-0.65726185
SEMA6C	-1.7926782
TNFAIP8L2	-4.716297
RIIAD1	2.8581758
THEM4	0.6690974
TCHH	-4.0039864
S100A8	-6.9816785
ILF2	0.6872463
ATP8B2	-2.1354074
IL6R	-3.0818377
SHE	-3.1251636
PBXIP1	-0.7841091
ADAM15	-1.0591888
RIT1	0.5129938
TTC24	-2.0186124
CRABP2	5.8567324
SH2D2A	-3.597102
FCRL5	-5.238226
FCRL4	-3.0229957
FCRL3	-4.2381344
FCRL2	-4.075835
CD1D	-3.563641
CD1C	-5.7537613
CD1E	-4.3528333
MNDA	-5.9659395
PYHIN1	-5.237365
AIM2	-4.825115
CADM3	-3.9688146
DARC	-8.113425
FCER1A	-6.2002892
FCRL6	-4.351281
SLAMF8	-6.2811437
PIGM	0.865067
KCNJ10	-1.725427
SLAMF6	-6.9919524
CD84	-4.8904495
SLAMF1	-5.8715663
CD48	-8.305292
SLAMF7	-8.688107
LY9	-6.69899
CD244	-6.4710727
ITLN2	-8.001255
ARHGAP30	-5.7307143
MPZ	-2.5868316
FCGR2A	-4.2334714
HSPA6	-3.9216928
HSPA7	-4.807081
FCGR3B	-5.212361
FCGR2B	-5.1565433
FCRLA	-4.4662805
SH2D1B	-3.7355516
FAM78B	-1.3032498
CD247	-7.868291
RCSD1	-2.1611438
MPZL1	0.614623
XCL2	-5.466019
MGC4473	1.8547729
SELP	-6.1814795
SELL	-6.169007
KIFAP3	-0.61317825
FMO3	2.4059505
FASLG	-4.971878
KLHL20	1.120491
KIAA0040	-0.4375592
FAM5B	-2.4199297
MR1	-0.89647144
NCF2	-5.9978995
C1orf21	-0.6568355
RGS18	-5.3383846
RGS1	-3.194065
RGS13	-4.4344587
RGS2	-1.9195709
CFH	-2.252738
PTPRC	-8.524813
GPR25	-1.4249164
PKP1	-3.9712596
GPR37L1	-2.864079
ARL8A	-0.4427919
PTPN7	-6.9431515
LOC148709	1.2484217
FMOD	2.2125063
LAX1	-5.65512
ETNK2	3.0341592
REN	4.189736
RAB7L1	1.6852665
RASSF5	-4.476342
IL10	-2.7505329
FAIM3	-3.456448
PIGR	-2.6126823
CR1	-4.5697384
TRAF3IP3	-3.0808434
BATF3	-2.5155628
PROX1-AS1	-1.4614615
TLR5	-1.3651366
PYCR2	-0.3120222
GJC2	1.6197534
ACTA1	4.7981358
AGT	2.7902288
LYST	-1.488338
GPR137B	-1.7775159
WDR64	-1.240675
ZNF238	-0.79289395
ADSS	0.39710048
NLRP3	-5.153607
C1orf150	-3.315477
TRIM58	-3.5539157
PFKP	-1.6841831
AKR1C1	1.6845121
AKR1C2	1.8269234
ANKRD16	-0.8386856
IL15RA	-1.4582033
IL2RA	-6.741213
SFMBT2	-2.658246
GATA3	-3.3251677
SFTA1P	-3.8709908
OPTN	-1.2377375
BEND7	-2.300146
SUV39H2	0.5549956
NMT2	-0.429966
MRC1	-2.5353076
NEBL	-1.2297173
PIP4K2A	-1.1506947
APBB1IP	-6.0439186
BAMBI	2.787468
LOC387647	-4.719453
HSD17B7P2	-4.011069
LOC399744	-4.822238
LOC84856	-2.546273
ALOX5	-2.2970204
WDFY4	-5.1138353
C10orf128	-5.161045
DKK1	3.4066145
CDK1	0.9824219
ATOH7	-1.664598
SRGN	-7.2870407
NEUROG3	1.5200043
PRF1	-6.833124
SLC29A3	2.1032753
C10orf105	-1.7426662
C10orf54	-1.5774403
SPOCK2	-4.0262804
DDIT4	-1.51443
ECD	0.2759666
DNAJC9	0.24691583
SYNPO2L	4.920869
AGAP5	-0.7069001
NDST2	-0.62757397
GRID1	-1.6169453
C10orf116	-7.229816
AGAP11	-3.7281928
FAM22A	-2.2956662
PTEN	-0.28082272
LOC643529	-6.7585554
TCTN3	0.8754463
LOC728558	-1.7145745
PIK3AP1	-2.0706534
