ID	logFC
ACTR2	0.8199157
ACTR3	0.8461542
ANAPC4	1.0108685
ATF2	0.9485111
CAMKK2	0.34397793
CCNT2	1.6328483
CDC27	0.7041864
CDK8	0.88553
CDK9	-0.5144663
EDN3	1.1333942
EIF4E	1.185924
ERF	-0.9002742
HRAS	-1.3578677
JAK2	1.1514052
JUND	-0.8223066
MAP2K4	0.41182038
MAP2K7	-0.90542406
MAP3K7	0.69057745
MAPK6	1.4279795
MAPK9	0.6531267
MAPK14	0.720788
MAP4K3	1.3468146
MEF2C	0.61613846
MYLPF	-2.5493724
NCKAP1	1.3793049
PIAS2	0.3760195
PPM1A	0.9723167
PPP1CB	1.7879324
PRKAR1B	-0.808568
PTK2	0.523755
RAD17	0.87548107
RAD21	1.3616772
RAF1	0.3984756
RALA	1.0065373
RB1	0.75409794
RBL2	0.49386117
RPS6KA4	-0.7253704
SKIL	1.4684649
SMAD4	0.549944
SMAD5	1.1670628
SNX2	0.77736187
SNX4	2.0854287
STK11	-0.93845844
UCHL5	1.1857667
USP15	1.1783738
WASL	0.7669191
XIAP	0.91297245
ZFYVE16	0.75274557
